colour	x	y	showSelected1
#F8766D	1	0	1
#F8766D	2	1.89267320959434	1
#F8766D	3	2.05706161029963	1
#F8766D	4	2.43915013691911	1
#F8766D	5	1.3767147231945	1
#F8766D	6	3.42738753051495	1
#F8766D	7	4.34401690402306	1
#F8766D	8	3.65390160188698	1
#F8766D	9	3.57104714710767	1
#F8766D	10	3.28222068372833	1
#F8766D	11	3.53693592822419	1
#F8766D	12	1.70707279054242	1
#F8766D	13	1.48934545985124	1
#F8766D	14	0.474241070671175	1
#F8766D	15	1.06124830580547	1
#F8766D	16	1.38376339600726	1
#F8766D	17	1.36940496858826	1
#F8766D	18	1.25676839403784	1
#F8766D	19	1.83626773422701	1
#F8766D	20	3.25369616239289	1
#F8766D	21	4.32062939221358	1
#F8766D	22	4.73336492241136	1
#F8766D	23	6.68643959009503	1
#F8766D	24	6.91942367681252	1
#F8766D	25	7.62322465658644	1
#F8766D	26	7.34049374525657	1
#F8766D	27	8.78393155783901	1
#F8766D	28	9.52590596745196	1
#F8766D	29	8.97754182726291	1
#F8766D	30	9.50340114256916	1
#F8766D	31	9.55627161664083	1
#F8766D	32	9.40138031647677	1
#F8766D	33	10.3399454680164	1
#F8766D	34	11.1008735422275	1
#F8766D	35	10.5200735173835	1
#F8766D	36	10.5070675594452	1
#F8766D	37	10.810763743215	1
#F8766D	38	11.1334836940059	1
#F8766D	39	10.400179378244	1
#F8766D	40	10.8239559604001	1
#F8766D	41	10.5884927162382	1
#F8766D	42	11.3502618995183	1
#F8766D	43	8.81991726249266	1
#F8766D	44	9.73209095773525	1
#F8766D	45	9.9122241509184	1
#F8766D	46	9.08525463259899	1
#F8766D	47	9.94764169731822	1
#F8766D	48	11.3345170970394	1
#F8766D	49	9.67773379909439	1
#F8766D	50	10.7212089694391	1
#D89000	1	0	2
#D89000	2	2.35534098948311	2
#D89000	3	3.80167277865116	2
#D89000	4	3.49311982034132	2
#D89000	5	3.29291196984269	2
#D89000	6	2.79626689669916	2
#D89000	7	2.13227583379359	2
#D89000	8	2.96861394305975	2
#D89000	9	3.58942397273162	2
#D89000	10	4.68049352691305	2
#D89000	11	5.23685350592958	2
#D89000	12	5.38444629069704	2
#D89000	13	6.13948010348491	2
#D89000	14	5.3406306116132	2
#D89000	15	4.63829223203846	2
#D89000	16	6.19011361870189	2
#D89000	17	5.12848977591478	2
#D89000	18	4.73424185095159	2
#D89000	19	3.73772972621964	2
#D89000	20	4.76510098324948	2
#D89000	21	5.69046105715494	2
#D89000	22	6.46929133327409	2
#D89000	23	7.84128023286756	2
#D89000	24	7.49039567187113	2
#D89000	25	5.48466205026589	2
#D89000	26	7.40018216610516	2
#D89000	27	6.58566854792047	2
#D89000	28	7.25008055437245	2
#D89000	29	7.46390444444208	2
#D89000	30	7.43131461790825	2
#D89000	31	7.79352124295172	2
#D89000	32	7.3171217210351	2
#D89000	33	6.44268654727746	2
#D89000	34	7.0098188170294	2
#D89000	35	5.67716939145608	2
#D89000	36	7.27802530586027	2
#D89000	37	6.52884671330808	2
#D89000	38	5.07093343985063	2
#D89000	39	4.19508206743063	2
#D89000	40	4.86031722323879	2
#D89000	41	4.29519886357814	2
#D89000	42	2.57850232967542	2
#D89000	43	2.40901452031577	2
#D89000	44	2.88648291600259	2
#D89000	45	2.71506082271488	2
#D89000	46	0.831360390524108	2
#D89000	47	1.1377204594994	2
#D89000	48	2.17075859540516	2
#D89000	49	4.24009376162478	2
#D89000	50	3.04004252779896	2
#A3A500	1	0	3
#A3A500	2	1.43554738347943	3
#A3A500	3	0.402126608880767	3
#A3A500	4	1.54742465353417	3
#A3A500	5	2.3979981621564	3
#A3A500	6	2.97530346362561	3
#A3A500	7	2.10278409758911	3
#A3A500	8	2.14271906206952	3
#A3A500	9	3.19143242162418	3
#A3A500	10	1.50451436197042	3
#A3A500	11	1.87782169044075	3
#A3A500	12	2.68586483086051	3
#A3A500	13	1.59191377603147	3
#A3A500	14	2.80301040924495	3
#A3A500	15	3.1525579006095	3
#A3A500	16	2.84614221231329	3
#A3A500	17	3.46147047494591	3
#A3A500	18	4.04855435705866	3
#A3A500	19	3.2132630402778	3
#A3A500	20	2.04174233279335	3
#A3A500	21	2.2877187214416	3
#A3A500	22	3.19979046605346	3
#A3A500	23	3.61177792893122	3
#A3A500	24	4.57543829156798	3
#A3A500	25	4.49797722707473	3
#A3A500	26	3.286043584885	3
#A3A500	27	4.05434915198982	3
#A3A500	28	4.7187677297143	3
#A3A500	29	5.20676498982461	3
#A3A500	30	6.54943887846285	3
#A3A500	31	4.93545793445309	3
#A3A500	32	4.34410212163429	3
#A3A500	33	3.88250605419476	3
#A3A500	34	3.34869348821498	3
#A3A500	35	3.52870296512071	3
#A3A500	36	3.72195877532352	3
#A3A500	37	3.12843730570357	3
#A3A500	38	2.62874529314962	3
#A3A500	39	2.61478597567138	3
#A3A500	40	2.79951583399033	3
#A3A500	41	2.19519528160233	3
#A3A500	42	1.26959635786431	3
#A3A500	43	1.47928163098564	3
#A3A500	44	2.56910449455529	3
#A3A500	45	2.24401876309974	3
#A3A500	46	1.1827967780512	3
#A3A500	47	0.085690852105413	3
#A3A500	48	1.77846562742097	3
#A3A500	49	0.621651055129082	3
#A3A500	50	1.29197779281516	3
#39B600	1	0	4
#39B600	2	0.691547723054327	4
#39B600	3	2.04973956001737	4
#39B600	4	1.14725770227557	4
#39B600	5	2.79092931522403	4
#39B600	6	2.40740319582498	4
#39B600	7	4.25955591774674	4
#39B600	8	3.35123772133574	4
#39B600	9	3.26664446648928	4
#39B600	10	3.62442472303436	4
#39B600	11	3.28916332133036	4
#39B600	12	5.28222501817874	4
#39B600	13	4.16305282128706	4
#39B600	14	5.42461134461912	4
#39B600	15	3.68238954223673	4
#39B600	16	5.27299344654266	4
#39B600	17	5.55225012449101	4
#39B600	18	5.62481382015634	4
#39B600	19	4.23302838356834	4
#39B600	20	3.46997981406379	4
#39B600	21	4.8624079970556	4
#39B600	22	5.0175819456822	4
#39B600	23	5.0429858496284	4
#39B600	24	4.58186061982651	4
#39B600	25	5.97299645227393	4
#39B600	26	4.36859843637709	4
#39B600	27	4.4837869849943	4
#39B600	28	3.3661565321142	4
#39B600	29	3.63367674267303	4
#39B600	30	5.14891301372786	4
#39B600	31	4.6668797917511	4
#39B600	32	4.79159193129497	4
#39B600	33	4.11010090400433	4
#39B600	34	4.2686827063348	4
#39B600	35	5.58078428528031	4
#39B600	36	5.72781591839454	4
#39B600	37	5.95726605416348	4
#39B600	38	6.64895411424375	4
#39B600	39	5.70228943667255	4
#39B600	40	6.71780103137396	4
#39B600	41	6.52790751184826	4
#39B600	42	6.28455447164868	4
#39B600	43	5.48353324949076	4
#39B600	44	6.61059578876349	4
#39B600	45	6.75740005142043	4
#39B600	46	6.32967238696551	4
#39B600	47	5.90456469844155	4
#39B600	48	6.41767427737899	4
#39B600	49	7.55645673946494	4
#39B600	50	6.01673570674718	4
#00BF7D	1	0	5
#00BF7D	2	0.425684690625616	5
#00BF7D	3	2.32929950189157	5
#00BF7D	4	1.03922201371532	5
#00BF7D	5	0.219549886042448	5
#00BF7D	6	1.54995745803309	5
#00BF7D	7	3.29966746385374	5
#00BF7D	8	2.17951578571088	5
#00BF7D	9	2.79933385774107	5
#00BF7D	10	1.79786222339231	5
#00BF7D	11	2.6473729744455	5
#00BF7D	12	3.47045391796365	5
#00BF7D	13	3.22616364152443	5
#00BF7D	14	4.1161465195532	5
#00BF7D	15	4.23118523127564	5
#00BF7D	16	4.21515573601482	5
#00BF7D	17	4.2654577427079	5
#00BF7D	18	2.51219482259149	5
#00BF7D	19	1.83767679504536	5
#00BF7D	20	2.54720493591322	5
#00BF7D	21	2.5474771582837	5
#00BF7D	22	2.81121934107378	5
#00BF7D	23	1.93610645539784	5
#00BF7D	24	1.10048256761415	5
#00BF7D	25	2.06614108511271	5
#00BF7D	26	1.17193066038106	5
#00BF7D	27	3.03125558275548	5
#00BF7D	28	2.49351584101015	5
#00BF7D	29	3.40245510227353	5
#00BF7D	30	2.64645993441383	5
#00BF7D	31	2.48160311356296	5
#00BF7D	32	3.51299521650764	5
#00BF7D	33	4.97978050139426	5
#00BF7D	34	6.67821484466339	5
#00BF7D	35	6.91387916887316	5
#00BF7D	36	5.48712900271056	5
#00BF7D	37	6.2660806449658	5
#00BF7D	38	5.86166322714808	5
#00BF7D	39	4.43363421914877	5
#00BF7D	40	4.85941070928575	5
#00BF7D	41	4.66437946266589	5
#00BF7D	42	3.39909113157894	5
#00BF7D	43	2.81832505284509	5
#00BF7D	44	2.84718433798504	5
#00BF7D	45	2.88725921554415	5
#00BF7D	46	4.0714732429104	5
#00BF7D	47	2.09825145607503	5
#00BF7D	48	1.64206005467886	5
#00BF7D	49	2.46777958322536	5
#00BF7D	50	2.94821015598093	5
#00BFC4	1	0	6
#00BFC4	2	0.644744384792251	6
#00BFC4	3	1.20690502926918	6
#00BFC4	4	0.811173071225179	6
#00BFC4	5	1.21942590101057	6
#00BFC4	6	2.11058766180529	6
#00BFC4	7	2.41311943731498	6
#00BFC4	8	2.96429078569179	6
#00BFC4	9	4.60679253540483	6
#00BFC4	10	5.64767419715577	6
#00BFC4	11	3.93658580610951	6
#00BFC4	12	3.22474246653187	6
#00BFC4	13	3.50090322335358	6
#00BFC4	14	5.46030037006863	6
#00BFC4	15	5.36721503761673	6
#00BFC4	16	5.92370797312297	6
#00BFC4	17	6.12831962906112	6
#00BFC4	18	5.5606306452373	6
#00BFC4	19	5.02929778039493	6
#00BFC4	20	5.24741277062852	6
#00BFC4	21	4.42248493329257	6
#00BFC4	22	4.11154998416159	6
#00BFC4	23	3.54677621754777	6
#00BFC4	24	3.33087611979124	6
#00BFC4	25	3.6086963587512	6
#00BFC4	26	2.9324407874972	6
#00BFC4	27	1.764249917623	6
#00BFC4	28	2.67897156184606	6
#00BFC4	29	4.07389926290824	6
#00BFC4	30	2.46616010424119	6
#00BFC4	31	1.63753463770536	6
#00BFC4	32	3.20131769235066	6
#00BFC4	33	3.26743852390325	6
#00BFC4	34	1.44831664193	6
#00BFC4	35	1.84355378835149	6
#00BFC4	36	1.72989635004683	6
#00BFC4	37	1.80775246085817	6
#00BFC4	38	2.23209612471976	6
#00BFC4	39	2.74731897400869	6
#00BFC4	40	2.44287741532306	6
#00BFC4	41	2.64086161523774	6
#00BFC4	42	3.30341667149808	6
#00BFC4	43	4.64071627360482	6
#00BFC4	44	4.55296064880503	6
#00BFC4	45	5.49901137809982	6
#00BFC4	46	6.26670670404017	6
#00BFC4	47	6.24785738374643	6
#00BFC4	48	8.25589214470537	6
#00BFC4	49	7.852232992885	6
#00BFC4	50	7.94584324150662	6
#00B0F6	1	0	7
#00B0F6	2	1.53801770863517	7
#00B0F6	3	1.64781516266052	7
#00B0F6	4	0.589724379493477	7
#00B0F6	5	0.865933764231431	7
#00B0F6	6	0.939330495340618	7
#00B0F6	7	1.27327745337395	7
#00B0F6	8	1.46204509201476	7
#00B0F6	9	1.68724230059436	7
#00B0F6	10	3.44367551907893	7
#00B0F6	11	2.73671089547174	7
#00B0F6	12	3.22637155469801	7
#00B0F6	13	1.88494657582713	7
